,minimum,maximum
TR2918366tm__mitmem,-10000.0,10000.0
R00585__pero,-10000.0,10000.0
T_AKGMALtm__mitmem,-10000.0,10000.0
R00372__mito,-10000.0,10000.0
TR2918381tm__mitmem,-10000.0,10000.0
R02739__cytop,-10000.0,10000.0
R00369__pero,-10000.0,10000.0
TR2918343tm__mitmem,-10000.0,10000.0
TR2918406tm__mitmem,-10000.0,10000.0
TR2918376tm__mitmem,-10000.0,10000.0
R00355__mito,-10000.0,10000.0
R03321__cytop,-10000.0,10000.0
TR2918401tm__mitmem,-10000.0,10000.0
R00372__pero,-10000.0,10000.0
TR2918400tm__mitmem,-10000.0,10000.0
R00258__pero,-10000.0,10000.0
R00588__pero,-10000.0,10000.0
TR2900025tm__mitmem,-10000.0,10000.0
TR2918362tm__mitmem,-10000.0,10000.0
R02740__cytop,-9999.999999999976,10000.0
R00369__mito,-10000.0,10000.0
R01388__mito,-10000.0,10000.0
T_DGLYCtm__mitmem,-10000.0,10000.0
TR2918394tm__mitmem,-10000.0,10000.0
R00258__mito,-10000.0,10000.0
R00355__cytop,-10000.0,10000.0
TZ2900024th__chlomem,-10000.0,10000.0
