,minimum,maximum
R00243__mito,-1000.0,1000.0
TO1000322th__chlomem,-1000.0,1000.0
R00112__chlo,-1000.0,1000.0
R00372__cytop,-1000.0,1000.0
TR2918366tm__mitmem,-1000.0,1000.0
R00585__pero,-1000.0,1000.0
TO1000322tm__mitmem,-1000.0,1000.0
T_AKGMALtm__mitmem,-1000.0,1000.0
R01473__cytop,-1000.0,1000.0
R09477__cytop,-1000.0,1000.0
TR0000239t__plas,-1000.0,1000.0
R00372__mito,-1000.0,1000.0
TR0000242t__plas,-1000.0,1000.0
R00715__cytop,-1000.0,1000.0
TR0000063t__plas,-1000.0,1000.0
R02199__cytop,-1000.0,1000.0
R00127__cytop,-1000.0,1000.0
R02199__mito,-1000.0,1000.0
R04171__cytop,-1000.0,1000.0
R01325__mito,-1000.0,1000.0
TR0000099th__chlomem,-1000.0,1000.0
R00248__mito,-1000.0,1000.0
R02739__cytop,-1000.0,999.9999999999999
T_CLth__chlomem,-1000.0,1000.0
TZ2900000t__plas,-1000.0,1000.0
TZ2900041t__plas,-500.0,1000.0
R00369__pero,-1000.0,1000.0
TZ2900003tm__mitmem,-1000.0,1000.0
TR0003387t__plas,-1000.0,1000.0
TR2918343tm__mitmem,-1000.0,1000.0
R00734__chlo,-1000.0,1000.0
T_GLUNA1tm__mitmem,-1000.0,999.9999999999837
R01015__cytop,-499.9999999999867,1000.0
TR2918406tm__mitmem,-1000.0,1000.0
TZ2900044t__plas,-500.0,500.0
T_CoA_ATP__mitmem,-1000.0,1000.0
TZ2900064t__plas,-500.0,1000.0
TZ2900051t__plas,-500.0,500.0
TR2918376tm__mitmem,-1000.0,1000.0
T_CoA_AMP__mitmem,-1000.0,1000.0
T_UDPARAtg__golmem,-1000.0,1000.0
T_3MOPth__chlomem,-1000.0,1000.0
R01900__mito,-1000.0,1000.0
R00355__mito,-1000.0,1000.0
T_2OXOADP2OXOGLTtm__mitmem,-1000.0,1000.0
R03321__cytop,-1000.0,1000.0
R00112__mito,-1000.0,1000.0
TR2918401tm__mitmem,-1000.0,1000.0
TR0000150t__plas,-1000.0,1000.0
R01957__cytop,-1000.0,1000.0
T_ASPt2m__mitmem,-1000.0,1000.0
TR2900053tm__mitmem,-1000.0,1000.0
R12694__cytop,-1000.0,1000.0
TR2918400tm__mitmem,-1000.0,1000.0
R00588__pero,-1000.0,1000.0
R00734__cytop,-1000.0,1000.0
TR0000971t__plas,-1000.0,1000.0
TR0000268t__plas,-1000.0,1000.0
TR2900025tm__mitmem,-1000.0,1000.0
R01324__mito,-999.9999999999984,1000.0
R00127__mito,-1000.0,1000.0
TR0003396t__plas,-1000.0,1000.0
R01431__cytop,-1000.0,1000.0
R02199__chlo,-1000.0,1000.0
R00716__cytop,-1000.0,1000.0
TZ2900063t__plas,-500.0,500.0
TR2918362tm__mitmem,-1000.0,1000.0
T_CoA_ADP__mitmem,-1000.0,1000.0
TO1000069th__chlomem,-1000.0,1000.0
TR0000081t__plas,-1000.0,1000.0
T_2OXOADPtim__mitmem,-1000.0,1000.0
TR6900007tm__mitmem,-1000.0,1000.0
R02740__cytop,-999.9999999999999,1000.0
TR6900007th__chlomem,-1000.0,1000.0
R00369__mito,-1000.0,1000.0
TZ2900058t__plas,-500.0,1000.0
T_34HPPt2h__chlomem,-1000.0,1000.0
T_UDPXYLtg__golmem,-1000.0,1000.0
TO1000023tm__mitmem,-1000.0,1000.0
R01473__golg,-1000.0,1000.0
TR2918394tm__mitmem,-1000.0,1000.0
R00258__mito,-1000.0,1000.0
TZ2900002tv__vacmem,-1000.0,1000.0
R01956__cytop,-1000.0,1000.0
R00355__cytop,-1000.0,1000.0
TZ2900048t__plas,-500.0,500.0
T_3MOPtm__mitmem,-1000.0,1000.0
